generator:output:electricity,manufacturer,model,name,longitude,latitude
1300 kW,AN Bonus,,,9.7328481,52.274189
3.00 MW,Vestas,V112,,13.5904644,52.6185448
0.66 MW,Vestas,V 47,,13.4370734,52.7416106
1.30 MW,Nordex,N 62,,13.6563763,52.6846115
1.30 MW,Nordex,N 62,,13.6550608,52.6820866
1.30 MW,Nordex,N 62,,13.653702,52.6793772
1 MW,Fuhrländer,FL 1000,,13.6710712,52.689603
3.0 MW,Vestas,V 112,,13.671747,52.68784
3.0 MW,Vestas,V 112,,13.673496,52.680425
3.00 MW,Vestas,V 112-3-140,,13.684001,52.696266
3.00 MW,Vestas,V 112-3-140,,13.688402,52.694418
3.00 MW,Vestas,V 112-3-140,,13.693535,52.694466
3.00 MW,Vestas,V 112-3-140,,13.7053181,52.696321
3.00 MW,Vestas,V 112-3-140,,13.691374,52.697445
3.00 MW,Vestas,V 112-3-140,,13.697019,52.698208
3.00 MW,Vestas,V 112-3-140,,13.70666,52.6989699
3.00 MW,Vestas,V 112-3-140,,13.68763,52.699912
,,,Nordex N-90 2.5 MW,7.939525,52.4541231
,,,Nordex N-90 2.5 MW,7.9334224,52.4541911
,,,Nordex N-90 2.5 MW,7.9240497,52.4575071
1.8 MW,Enercon,E66 18.70,,13.5274671,50.8957914
600 kW,Tacke,TW600,,13.5211647,50.9002759
600 kW,Tacke,TW600a,GE6152035-3,13.5218507,50.903515
,,,,6.4251993,51.0922462
,Nordex,,,6.4352417,51.094532
,,,,6.4786699,51.3713376
,,,,6.47453,51.3743203
1500 kW,,,,10.0415249,53.5066827
500 kW,Enercon,E-40,Windkraftanlage Regensburg,12.1130487,49.0570831
500 kW,Enercon,E-40/5.40,Windkraftanlage Blumendorf,10.3276698,53.8044097
yes,DeWind,,,6.2150252,50.9324471
1 MW,Fuhrländer,FL 1000,,8.0869467,50.8959826
,Enercon,E-70,,7.2252322,53.5381646
,Enercon,E-70,,7.2219562,53.5369481
,Enercon,E-70,,7.2265562,53.5402792
1000 kW,,,,13.5743412,51.0604432
,Enercon,E-70,,7.2331746,53.5313583
,Enercon,E-66,,7.2194127,53.5301152
,Enercon,E-70,,7.2256459,53.5357711
,Enercon,E-66,,7.2209778,53.5350664
,Enercon,E-66,,7.2183355,53.5334869
,Enercon,E-66,,7.2217451,53.5330568
,Enercon,E-66,,7.2239152,53.5289526
,Enercon,E-70,,7.2281193,53.5309732
,Enercon,E-70,,7.2296375,53.5337375
,Enercon,E-70,,7.2253653,53.5329996
,Enercon,E-66,,7.222938,53.5307537
,,,,6.0298829,50.8098032
,,,,6.0282356,50.8119246
,,,,6.0227941,50.8106838
,,,,6.0251722,50.8087162
1800 kW,,,,6.0178778,50.8086691
1500 kW,,,Besucherwindanlage Windfang,6.0206898,50.8069203
,,,,6.0236314,50.8051434
,,,,8.8298645,53.116529
,,,,8.826592,53.1166578
,,,,8.8216674,53.1169089
,,,,9.4883233,53.3718642
,,,,9.4907952,53.3745936
,,,,9.4939581,53.3722883
,,,,9.4871131,53.3762871
,,,,9.491866,53.3775288
,,,,9.4881388,53.3792504
,,,,9.4957905,53.3761272
,,,,9.4995028,53.3743375
,,,,9.5032579,53.3771793
,,,,9.4978913,53.371004
,,,,9.4903704,53.3697416
,,,,9.4861389,53.3668712
,,,,9.5004726,53.3686637
,,,,9.5047213,53.3677801
2300 kW,Enercon,E-70 E4,,13.4533214,50.9898708
4.5 MW,Nordex,N149,NX86047,9.7914087,53.3635505
4.5 MW,Nordex,N149,NX86048,9.7886078,53.3673567
,,,,9.7850547,53.4451562
,,,,9.784305,53.4480912
2000 kW,Enercon,E-70/2.0MW,,6.8750351,49.7492853
,,,,12.2590601,51.2604067
,,,,12.2585836,51.2583639
,,,,12.2566634,51.2647827
,,,,12.2525095,51.2640967
,,,,12.2561196,51.2670813
,,,,12.2525582,51.2663519
,,,,12.276639,51.2856251
,,,,12.2820643,51.2862375
,,,,12.2619424,51.0989125
,,,,12.267482,51.098651
,,,,12.2721153,51.0984003
,,,,12.2758198,51.0983484
600 kW,,,,12.3750143,51.4539904
660 kW,,,,12.3815361,51.4618151
,,,,10.6687057,52.3996198
,,,,10.6689042,52.3982871
,,,,10.6690977,52.3969445
,,,,6.605248,51.0607181
yes,,,,13.602601,50.9955333
,AN Bonus,1300/62,,9.6301301,53.6879089
,AN Bonus,1300/62,,9.6325684,53.6873434
,AN Bonus,1300/62,,9.6332024,53.691402
