Unit MaStR Number,Postal Code,Longitude,Latitude,Gross Power (kW),Net Rated Power (kW),Generation MaStR Number,Name of Wind Farm,Location,Hub Height (m),Rotor Diameter (m),EEG MaStR Number,Date of Final Decommissioning,North Sea Cluster,Baltic Sea Cluster
SEE929922955178,17328,14.133659,53.267397,6000,6000,SGE978940076358,Gr??nz IV,888,169,162,,,,
SEE973248059300,17328,14.138111,53.27045,6000,6000,SGE978940076358,Gr??nz IV,888,169,162,,,,
SEE942713263788,17328,14.146621,53.272309,6000,6000,SGE978940076358,Gr??nz IV,888,169,162,,,,
SEE935885886091,59387,7.696151,51.778608,6800,6800,SGE952035485904,Windpark Ascheberg-Forsth??vel,888,164,163,,,,
SEE967463780415,65606,8.222152,50.383594,3450,3450,SGE960880843374,Windpark Villmar,888,132,136,,,,
SEE933991279776,59387,7.699553,51.775247,6800,6800,SGE952035485904,Windpark Ascheberg-Forsth??vel,888,164,163,,,,
SEE925815384995,59387,7.695781,51.770826,6800,6800,SGE952035485904,Windpark Ascheberg-Forsth??vel,888,164,163,,,,
SEE922483554224,15306,14.328835,52.541043,5600,5600,SGE956417622185,Windpark Vierlinden 2,888,169,162,,,,
SEE922291079889,15306,14.327877,52.553615,5600,5600,SGE956417622185,Windpark Vierlinden 2,888,169,162,,,,
SEE906529281565,34434,9.279397,51.577021,5600,5600,SGE982970978803,Windpark Borgentreich-Ost,888,169,162,,,,
SEE933682817027,34434,9.265989,51.584192,5600,5600,SGE982970978803,Windpark Borgentreich-Ost I,888,169,162,,,,
SEE992598738826,59581,8.351604,51.506992,4200,4200,SGE992277730615,WP Effeln-S??d,888,121.87,115.72,,,,
SEE958081206319,96365,,,7.5,7.5,,Nordhalben Regberg 2a,888,,5.3,EEG924780113845,,,
SEE939806669862,34388,9.341588,51.551078,4500,4500,SGE906275392782,Windpark Trendelburg II,888,164,149.1,,,,
SEE986350406085,97286,10.053319,49.707864,4260,4260,SGE928886360936,Windpark Sommerhausen,888,160,138.25,,,,
SEE910145401429,49762,13.345949,52.814502,4200,4200,SGE904694629533,Neusustrum Zielabweichung,888,130.07,138.25,,,,
SEE940696738422,56459,7.992227,50.527597,6200,6200,SGE905262789123,Salz-Berzhahn,888,169,162,,,,
SEE937672566087,69168,,,1,1,,MBWindpark,888,13,1.5,,,,
